Changed database context to 'Guardian'.
SPTNumber                                                                                                                                                                                                SPTFormatId SPTObjectTypeId
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ----------- ---------------
(01)21880020000029(21)0100100627                                                                                                                                                                                  20              50
(01)21880020000029(21)0100100627                                                                                                                                                                                  20              50
(01)21880020000029(21)0100116273                                                                                                                                                                                  20              50
(01)21880020000029(21)0100116273                                                                                                                                                                                  20              50
(01)21880020000029(21)0100121245                                                                                                                                                                                  20              50
(01)21880020000029(21)0100121245                                                                                                                                                                                  20              50
(01)21880020000029(21)0100138723                                                                                                                                                                                  20              50
(01)21880020000029(21)0100138723                                                                                                                                                                                  20              50
(01)21880020000029(21)0100145774                                                                                                                                                                                  20              50
(01)21880020000029(21)0100145774                                                                                                                                                                                  20              50

(10 rows affected)
